Date;COD_3 ;SS_3;NO2_3
09.10.2023;29,75206612;6,611570248;0,016528926
10.10.2023;34,7107438;11,15702479;
12.10.2023;31,40495868;;
13.10.2023;28,92561983;3,305785124;
15.10.2023;18,42975207;4,132231405;
17.10.2023;32,23140496;3,305785124;
20.10.2023;33,88429752;3,305785124;
22.10.2023;36,36363636;5,371900826;
27.10.2023;33,88429752;3,305785124;
29.10.2023;33,05785124;7,438016529;
03.11.2023;29,75206612;4,132231405;
05.11.2023;33,88429752;10,74380165;
07.11.2023;24,79338843;2,479338843;
10.11.2023;28,92561983;9,090909091;
12.11.2023;50,5785124;7,438016529;
14.11.2023;13,2231405;10,74380165;0,039669421
17.11.2023;19,25619835;5,371900826;
19.11.2023;19,83471074;4,132231405;
21.11.2023;26,94214876;4,132231405;
24.11.2023;56,19834711;29,75206612;
26.11.2023;16,52892562;4,545454545;
28.11.2023;36,36363636;3,305785124;
02.12.2023;;;
03.12.2023;20;4,132231405;
04.12.2023;;;
05.12.2023;29,75206612;1,652892562;0,080991736
08.12.2023;25,61983471;5,785123967;
09.12.2023;;;
10.12.2023;28,92561983;4,958677686;
12.12.2023;31,40495868;3,719008264;
17.12.2023;31,40495868;3,305785124;
19.12.2023;32,23140496;12,39669421;
22.12.2023;19,00826446;5,785123967;
24.12.2023;28,09917355;9,917355372;
26.12.2023;20,66115702;1,652892562;
29.12.2023;32,23140496;4,132231405;
31.12.2023;25,61983471;3,305785124;
02.01.2024;26,44628099;3,305785124;
05.01.2024;19,00826446;4,132231405;
07.01.2024;32,23140496;2,479338843;
09.01.2024;35,53719008;4,132231405;
12.01.2024;30,5785124;3,719008264;
14.01.2024;14,87603306;1,652892562;
16.01.2024;23,96694215;4,132231405;0,016528926
19.01.2024;29,75206612;4,958677686;
21.01.2024;43,80165289;1,652892562;
23.01.2024;34,7107438;3,305785124;
26.01.2024;31,40495868;5,20661157;
28.01.2024;38,01652893;12,39669421;
30.01.2024;55,37190083;7,438016529;
02.02.2024;15,70247934;1,239669421;
04.02.2024;28,09917355;4,132231405;
06.02.2024;28,09917355;3,305785124;0,016528926
09.02.2024;31,40495868;12,39669421;
11.02.2024;37,19008264;4,132231405;
13.02.2024;50,41322314;4,958677686;
16.02.2024;43,80165289;4,132231405;
18.02.2024;52,89256198;4,958677686;
20.02.2024;27,27272727;3,305785124;
23.02.2024;39,66942149;3,305785124;
25.02.2024;30,5785124;6,198347107;
27.02.2024;47,10743802;9,090909091;
01.03.2024;72,72727273;12,39669421;
03.03.2024;45,45454545;4,958677686;
05.03.2024;53,71900826;5,785123967;0,015206612
08.03.2024;29,75206612;6,198347107;
10.03.2024;38,84297521;6,198347107;
11.03.2024;39,66942149;;
13.03.2024;38,84297521;10,74380165;
15.03.2024;36,36363636;11,98347107;
17.03.2024;29,75206612;4,132231405;
20.03.2024;72,72727273;49,58677686;
22.03.2024;45,45454545;16,52892562;
24.03.2024;29,91735537;5,785123967;
26.03.2024;33,05785124;7,438016529;
29.03.2024;26,44628099;12,39669421;
31.03.2024;13,05785124;8,26446281;
02.04.2024;25,61983471;1,652892562;
03.04.2024;18,18181818;2,479338843;0,355371901
05.04.2024;57,02479339;28,92561983;
07.04.2024;34,7107438;12,39669421;
09.04.2024;35,53719008;9,917355372;
12.04.2024;31,40495868;7,438016529;
14.04.2024;43,80165289;11,57024793;
16.04.2024;53,71900826;7,438016529;
19.04.2024;33,88429752;4,958677686;
21.04.2024;31,48760331;4,132231405;
23.04.2024;37,19008264;14,87603306;
26.04.2024;57,02479339;28,92561983;
27.04.2024;61,98347107;33,05785124;
28.04.2024;80,16528926;57,85123967;
29.04.2024;47,9338843;13,2231405;
30.04.2024;45,45454545;13,2231405;
01.05.2024;30,5785124;5,785123967;
02.05.2024;19,00826446;6,611570248;
04.05.2024;33,88429752;4,958677686;
04.05.2024;35,53719008;6,611570248;
05.05.2024;40,49586777;5,371900826;
06.05.2024;37,19008264;6,611570248;
07.05.2024;48,76033058;4,132231405;0,049586777
08.05.2024;39,66942149;3,223140496;
09.05.2024;37,19008264;6,611570248;
10.05.2024;39,66942149;6,198347107;
12.05.2024;34,7107438;6,611570248;
13.05.2024;40,49586777;6,611570248;
14.05.2024;34,7107438;4,132231405;
16.05.2024;54,54545455;10,74380165;
17.05.2024;56,19834711;12,39669421;
19.05.2024;53,71900826;5,785123967;
20.05.2024;50,41322314;7,438016529;
21.05.2024;54,54545455;6,198347107;
24.05.2024;47,10743802;5,950413223;
25.05.2024;;;
26.05.2024;18,18181818;4,545454545;
28.05.2024;51,23966942;8,26446281;
31.05.2024;35,53719008;2,479338843;
02.06.2024;39,66942149;2,975206612;
04.06.2024;28,09917355;4,132231405;
07.06.2024;25,61983471;4,132231405;
09.06.2024;40,49586777;0,826446281;
11.06.2024;29,25619835;4,132231405;0,02231405
15.06.2024;31,40495868;1,652892562;
16.06.2024;33,05785124;2,066115702;
18.06.2024;41,32231405;1,652892562;
21.06.2024;32,23140496;3,719008264;
23.06.2024;34,7107438;3,305785124;
25.06.2024;39,66942149;10,74380165;
28.06.2024;42,97520661;9,090909091;
30.06.2024;20,66115702;1,652892562;
05.07.2024;25,61983471;2,066115702;
07.07.2024;32,23140496;3,305785124;
09.07.2024;38,01652893;1,652892562;0,045454545
12.07.2024;35,53719008;3,884297521;
14.07.2024;44,62809917;7,851239669;
16.07.2024;23,96694215;1,652892562;
19.07.2024;34,7107438;2,066115702;
21.07.2024;30,5785124;2,892561983;
23.07.2024;32,23140496;4,958677686;
26.07.2024;21,48760331;0,826446281;
27.07.2024;28,09917355;;
28.07.2024;29,75206612;0,826446281;
30.07.2024;15,53719008;1,652892562;
02.08.2024;32,23140496;7,438016529;
06.08.2024;18,18181818;18,18181818;0,045454545
09.08.2024;28,09917355;4,545454545;
11.08.2024;28,09917355;1,652892562;
13.08.2024;28,09917355;5,785123967;
16.08.2024;21,48760331;3,719008264;
18.08.2024;23,14049587;1,652892562;
20.08.2024;22,31404959;3,388429752;
23.08.2024;26,28099174;5,785123967;
25.08.2024;28,09917355;4,132231405;
27.08.2024;33,88429752;2,479338843;
30.08.2024;34,7107438;3,719008264;
01.09.2024;30,5785124;7,024793388;
03.09.2024;27,27272727;4,545454545;
06.09.2024;21,48760331;6,611570248;
08.09.2024;35,53719008;7,851239669;
10.09.2024;28,09917355;1,652892562;0,016528926
13.09.2024;38,84297521;3,305785124;
15.09.2024;;;
17.09.2024;31,40495868;5,785123967;
20.09.2024;24,79338843;3,305785124;
22.09.2024;30,5785124;3,305785124;
24.09.2024;21,48760331;10,74380165;
27.09.2024;26,7768595;3,305785124;
29.09.2024;34,7107438;15,70247934;
01.10.2024;30,5785124;3,719008264;
04.10.2024;42,97520661;1,652892562;
04.10.2024;38,84297521;4,132231405;
08.10.2024;19,83471074;3,305785124;0,019834711
11.10.2024;41,32231405;4,958677686;
13.10.2024;42,97520661;2,066115702;
18.10.2024;19,83471074;2,892561983;
20.10.2024;24,79338843;2,066115702;
22.10.2024;35,53719008;1,652892562;
25.10.2024;25,61983471;14,87603306;
27.10.2024;38,84297521;3,305785124;
29.10.2024;32,23140496;0,826446281;
01.11.2024;19,83471074;8,26446281;
03.11.2024;33,05785124;16,52892562;
06.11.2024;21,98347107;4,132231405;0,057024793
08.11.2024;27,27272727;2,892561983;
10.11.2024;16,11570248;8,67768595;
12.11.2024;19,00826446;4,132231405;
15.11.2024;19,83471074;3,305785124;
17.11.2024;21,48760331;0,826446281;
19.11.2024;19,83471074;2,892561983;
22.11.2024;28,92561983;5,785123967;
24.11.2024;28,09917355;0,826446281;
29.11.2024;19,83471074;3,719008264;
01.12.2024;29,75206612;3,305785124;
03.12.2024;31,40495868;2,561983471;0,070247934
06.12.2024;27,27272727;3,719008264;
08.12.2024;28,51239669;3,719008264;
10.12.2024;36,36363636;1,900826446;
15.12.2024;31,40495868;3,305785124;
17.12.2024;29,17355372;3,305785124;
19.12.2024;46,28099174;4,132231405;
20.12.2024;69,4214876;3,305785124;
22.12.2024;42,14876033;3,305785124;
24.12.2024;48,76033058;7,438016529;
28.12.2024;28,09917355;8,67768595;
29.12.2024;40,49586777;6,033057851;
31.12.2024;71,90082645;10,74380165;
03.01.2025;28,09917355;16,52892562;
05.01.2025;39,66942149;6,198347107;
07.01.2024;76,85950413;10,74380165;
08.01.2024;61,98347107;11,15702479;
10.01.2025;71,90082645;11,57024793;
12.01.2025;38,84297521;5,785123967;
14.01.2024;68,59504132;7,438016529;
17.01.2025;49,58677686;6,198347107;0,008264463
19.01.2025;44,62809917;5,785123967;
21.01.2025;31,40495868;9,090909091;0,487603306
24.01.2025;34,7107438;11,15702479;0,768595041
26.01.2025;27,27272727;4,958677686;0,859504132
28.01.2025;23,96694215;2,479338843;
31.01.2025;67,76859504;7,851239669;
02.02.2025;66,11570248;12,39669421;0,52892562
04.02.2025;60,33057851;9,917355372;
07.02.2025;64,46280992;19,83471074;
09.02.2025;44,62809917;6,611570248;
10.02.2025;37,19008264;4,545454545;1,082644628
14.02.2025;50,41322314;6,611570248;
16.02.2025;34,7107438;6,198347107;
18.02.2025;55,37190083;10,74380165;
21.02.2025;38,84297521;12,39669421;
23.02.2025;44,62809917;12,39669421;
25.02.2025;41,32231405;6,611570248;
28.02.2025;38,01652893;10,90909091;
02.03.2025;56,69421488;21,48760331;
04.03.2025;56,19834711;17,3553719;2,867768595
07.03.2025;87,60330579;41,32231405;
09.03.2025;80,99173554;33,05785124;
11.03.2025;53,71900826;29,75206612;
14.03.2025;76,03305785;41,32231405;
16.03.2025;67,76859504;33,05785124;
17.03.2025;64,46280992;;
19.03.2025;61,15702479;18,59504132;
21.03.2025;61,15702479;14,04958678;
23.03.2025;64,46280992;12,39669421;
25.03.2025;46,11570248;20,66115702;
28.03.2025;72,72727273;20,66115702;
29.03.2025;39,66942149;;
30.03.2025;50,41322314;13,2231405;
01.04.2025;45,45454545;14,04958678;0,272727273
04.04.2025;;16,52892562;
06.04.2025;55,37190083;10,33057851;
08.04.2025;56,19834711;11,57024793;
09.04.2025;47,10743802;8,26446281;
11.04.2025;43,80165289;11,57024793;
13.04.2025;40,49586777;5,785123967;
15.04.2025;52,0661157;12,39669421;
18.04.2025;47,10743802;11,57024793;
20.04.2025;59,09090909;17,3553719;
22.04.2025;57,02479339;14,46280992;
25.04.2025;58,67768595;14,04958678;
27.04.2025;60,33057851;12,39669421;
29.04.2025;68,59504132;18,18181818;
02.05.2025;48,76033058;10,33057851;
04.05.2025;37,19008264;12,39669421;
06.05.2025;60,33057851;12,39669421;2,446280992
09.05.2025;71,07438017;24,79338843;
11.05.2025;64,46280992;21,48760331;
13.05.2025;;;
